Refseq accession,annotation_file,embedding_file,NCBI taxonomy,Species,Organism source1,Phylum,Class,Oder,Family,Kingdom,Oxygen requirement,Oxygen requirements assignment source (DB/PMID)2,Number of O2-utilizing enzymes ,Enzymes,physiology
GCF_000219725,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000219725.1_ASM21972v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000219725.1_ASM21972v1_protein_embedding.h5,744872,Treponema caldarium,added,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Bacteria,Anaerobic,PATRIC,12,1.5.3.1  1.14.14.51  1.4.3.19  1.14.15.15  1.14.13.208  1.14.14.52  1.14.13.168  1.3.3.4  1.3.3.6  1.1.99.18  1.14.13.237  1.15.1.1,Anaerobe
GCF_000196175,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000196175.1_ASM19617v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000196175.1_ASM19617v1_protein_embedding.h5,264462,Bdellovibrio bacteriovorus,added,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bacteria,Aerobic,PATRIC,24,1.1.3.6  1.13.11.5  1.13.11.29  1.14.14.51  1.9.3.1  1.14.13.20  1.4.3.16  1.14.14.52  1.2.3.1  1.13.11.11  1.14.13.168  1.13.11.58  1.11.1.6  1.3.3.6  1.14.13.225  1.13.11.27  1.13.12.16  1.13.11.24  1.3.99.31  1.4.3.2  1.4.3.5  1.7.2.1  1.15.1.1  1.14.19.1,Aerobe
GCF_000196135,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000196135.1_ASM19613v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000196135.1_ASM19613v1_protein_embedding.h5,273121,Wolinella succinogenes,added,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Bacteria,Anaerobic,PATRIC,18,1.14.16.4  1.14.16.1  1.14.13.127  1.1.5.4  1.10.3.14  1.14.14.51  1.9.3.1  1.4.3.16  1.8.3.2  1.4.3.19  1.14.13.208  1.14.14.52  1.14.99.44  1.4.3.24  1.13.12.3  1.14.13.237  1.14.13.7  1.15.1.1,Anaerobe
GCF_000024325,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000024325.1_ASM2432v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000024325.1_ASM2432v1_protein_embedding.h5,485915,Desulfohalobium retbaense,added,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Bacteria,Anaerobic,PATRIC,20,1.14.16.1  1.5.3.1  1.5.3.7  1.1.3.10  1.1.3.15  1.16.3.1  1.14.14.51  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  4.1.1.39  1.13.11.12  1.3.5.6  1.11.1.6  1.14.13.163  1.13.11.24  1.14.13.237  1.3.99.26  1.4.3.2,Anaerobe
GCF_000006785,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000006785.2_ASM678v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000006785.2_ASM678v2_protein_embedding.h5,160490,Streptococcus pyogenes,original tree,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Bacteria,Facultative,GOLD,9,1.5.3.1  1.5.3.7  1.1.3.15  1.1.3.21  1.4.3.24  1.1.99.18  1.13.12.4  1.4.3.2  1.15.1.1,Facultative
GCF_000010065,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000010065.1_ASM1006v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000010065.1_ASM1006v1_protein_embedding.h5,269084,Synechococcus elongatus,original tree,Cyanobacteria,no rank,Synechococcales,Synechococcaceae,Bacteria,Aerobic,GOLD,27,1.13.11.2  1.5.3.1  1.5.3.7  1.10.3.2  1.10.3.9  1.13.11.75  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  4.1.1.39  1.14.14.18  1.4.3.24  1.3.5.6  1.13.11.18  1.14.13.81  1.3.3.4  1.3.3.3  1.13.11.24  4.1.99.5  1.14.19.37  1.1.1.170  1.4.3.5  1.14.13.7  1.14.13.9  1.3.99.30  1.15.1.1,Aerobe
GCF_000212675,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000212675.2_ASM21267v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000212675.2_ASM21267v2_protein_embedding.h5,690850,Desulfovibrio africanus,added,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bacteria,Anaerobic,PATRIC,23,1.5.3.1  1.1.3.10  1.14.14.1  1.3.3.13  1.10.2.2  1.14.14.51  1.11.1.21  1.4.3.16  1.14.13.208  1.14.14.52  1.14.99.44  1.4.3.24  1.3.5.6  1.3.3.4  1.3.3.3  1.14.13.163  1.1.99.18  1.17.3.2  1.14.13.237  1.14.13.232  1.6.3.1  1.4.3.4  1.15.1.1,Anaerobe
GCF_000012685,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000012685.1_ASM1268v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000012685.1_ASM1268v1_protein_embedding.h5,246197,Myxococcus xanthus,added,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Bacteria,Aerobic,PATRIC,43,1.1.3.6  1.14.16.5  1.13.11.5  1.13.11.6  1.14.13.185  1.14.13.127  1.1.5.4  1.5.3.17  1.14.99.29  1.10.3.2  1.14.13.171  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.14.13.38  1.2.3.1  1.14.19.6  1.13.11.11  1.14.15.21  1.13.11.18  1.14.99.50  1.11.1.6  1.3.3.4  1.3.3.6  1.3.3.3  1.14.13.222  1.13.11.27  1.13.11.24  1.3.99.31  1.17.3.2  1.14.13.237  1.14.13.234  1.14.12.7  1.3.99.26  1.14.11.33  1.4.3.2  1.4.3.5  1.14.13.9  1.14.11.6  1.3.99.30  1.15.1.1,Aerobe
GCF_000017465,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000017465.2_ASM1746v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000017465.2_ASM1746v2_protein_embedding.h5,360105,Campylobacter curvus,added,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Bacteria,Anaerobic,PATRIC,9,1.1.5.4  1.10.3.14  1.14.14.51  1.9.3.1  1.4.3.19  1.14.14.52  1.13.11.24  1.4.3.2  1.15.1.1,Anaerobe
GCF_000011585,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000011585.1_ASM1158v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000011585.1_ASM1158v1_protein_embedding.h5,267377,Methanococcus maripaludis,original tree,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Archaea,Anaerobic,GOLD,9,1.14.16.4  1.14.16.1  1.4.3.19  1.14.13.208  1.3.5.6  1.14.19.23  1.1.1.270  1.4.3.2  1.14.13.7,Anaerobe
GCF_000011245,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000011245.1_ASM1124v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000011245.1_ASM1124v1_protein_embedding.h5,221109,Oceanobacillus iheyensis,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Aerobic,PATRIC,25,1.13.11.2  1.5.3.1  1.14.12.17  1.1.5.4  1.14.14.1  1.10.3.10  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.14.99.44  1.13.11.11  1.14.14.47  1.11.1.6  1.3.3.4  1.13.12.16  1.14.13.237  1.1.1.170  1.4.3.2  1.14.14.9  1.14.13.131  1.15.1.1,Aerobe
GCF_000012405,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000012405.1_ASM1240v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000012405.1_ASM1240v1_protein_embedding.h5,269800,Thermobifida fusca,original tree,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Bacteria,Aerobic,PATRIC,30,1.1.3.6  1.14.16.4  1.14.16.1  1.13.11.29  1.1.3.15  1.14.13.142  1.13.11.79  1.10.2.2  1.9.3.1  1.4.3.16  1.4.3.19  1.14.13.38  1.14.99.49  1.14.14.18  1.13.11.11  1.14.14.10  1.14.14.35  1.11.1.6  1.14.13.225  1.14.14.5  1.14.13.92  1.14.13.237  1.14.13.234  1.3.99.26  1.13.11.81  1.14.11.33  1.4.3.2  1.4.3.5  1.14.13.9  1.15.1.1,Aerobe
GCF_000023445,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000023445.1_ASM2344v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000023445.1_ASM2344v1_protein_embedding.h5,526222,Desulfovibrio salexigens,added,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bacteria,Anaerobic,PATRIC,22,1.1.3.4  1.14.16.4  1.14.16.1  1.14.12.17  1.10.3.10  1.5.3.17  1.14.13.101  1.14.14.51  1.11.1.21  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.3.5.6  1.13.12.19  1.13.11.24  1.13.12.3  1.17.3.2  1.14.13.237  1.3.99.26  1.14.11.34  1.4.3.2,Anaerobe
GCF_000021025,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000021025.1_ASM2102v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000021025.1_ASM2102v1_protein_embedding.h5,557598,Laribacter hongkongensis,added,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Bacteria,Facultative,PATRIC,22,1.5.3.1  1.10.3.14  1.3.99.28  1.16.3.1  1.10.2.2  1.14.14.51  1.11.1.21  1.9.3.1  1.14.13.20  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  4.1.1.90  1.2.3.1  1.11.1.6  1.3.3.4  1.3.3.3  1.4.3.2  1.4.3.5  1.14.13.8  1.15.1.1,Facultative
GCF_001038695,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_001038695.1_ASM103869v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_001038695.1_ASM103869v1_protein_embedding.h5,189381,Bacillus marisflavi,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Aerobic,13130010,34,1.13.11.53  1.13.11.2  1.5.3.1  1.14.12.17  1.1.3.15  1.14.14.1  1.10.3.10  1.13.11.54  1.13.11.79  1.10.2.2  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.14.13.149  1.14.99.44  1.1.3.21  1.14.14.18  1.14.14.47  1.11.1.6  1.3.3.4  1.3.3.6  1.13.11.27  1.13.12.16  1.14.13.237  1.3.99.26  1.13.11.80  1.14.13.107  1.4.3.2  1.4.3.4  1.14.14.17  1.15.1.1,Aerobe
GCF_000009285,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000009285.1_ASM928v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000009285.1_ASM928v2_protein_embedding.h5,381666,Cupriavidus necator,original tree,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Bacteria,Facultative,PATRIC,66,1.13.11.9  1.14.16.1  1.13.11.5  1.13.11.1  1.13.11.2  1.13.11.3  1.14.12.17  1.14.12.10  1.13.11.25  1.1.3.15  1.14.13.128  1.14.13.142  1.14.14.1  1.10.3.10  1.13.11.47  1.5.3.17  1.3.99.28  1.16.3.1  1.3.3.11  1.14.13.172  1.10.2.2  1.14.14.51  1.13.12.23  1.11.1.21  1.14.13.29  1.14.13.24  1.9.3.1  1.4.3.16  1.8.3.4  1.4.3.19  1.13.11.66  1.14.13.209  1.14.13.208  1.14.14.52  1.14.13.149  1.14.13.114  1.2.3.1  4.1.1.39  1.13.11.11  1.13.11.18  1.14.13.195  1.14.14.10  1.14.13.218  1.14.11.44  1.11.1.6  1.14.11.17  1.14.13.166  1.3.3.4  1.3.3.3  1.13.11.27  1.14.14.5  1.13.12.16  1.13.11.24  1.14.13.237  1.13.11.83  1.14.11.33  1.4.3.2  1.4.3.1  1.4.3.5  1.14.13.7  1.14.13.2  1.3.99.30  1.7.2.1  1.15.1.1  1.5.3.19  1.13.11.37,Facultative
GCF_000012345,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000012345.1_ASM1234v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000012345.1_ASM1234v1_protein_embedding.h5,335992,Candidatus Pelagibacter ubique,original tree,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Bacteria,Aerobic,PATRIC,17,1.5.3.1  1.14.13.127  1.10.2.2  1.9.3.1  1.4.3.19  1.14.13.208  1.4.3.24  1.13.11.18  1.3.3.3  1.13.11.24  1.3.99.31  1.14.13.92  1.14.13.237  1.14.11.33  1.4.3.2  1.4.3.5  1.4.3.4,Aerobe
GCF_000242595,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000242595.2_ASM24259v3_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000242595.2_ASM24259v3_protein_embedding.h5,889378,Spirochaeta africana,added,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Bacteria,Anaerobic,8573509,14,1.13.11.51  1.13.11.2  1.5.3.1  1.5.3.7  1.14.14.1  1.16.3.1  1.14.14.51  1.9.3.1  1.14.13.208  1.14.14.52  1.4.3.24  1.14.13.237  1.4.3.2  1.15.1.1,Anaerobe
GCF_000016745,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000016745.1_ASM1674v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000016745.1_ASM1674v1_protein_embedding.h5,351605,Geobacter uraniireducens,added,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Bacteria,Anaerobic,PATRIC,17,1.14.16.1  1.1.3.15  1.10.3.14  1.16.3.1  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.11.1.6  1.3.3.4  1.13.12.3  1.17.3.2  1.14.13.237  1.4.3.2  1.14.13.9,Anaerobe
GCF_000007625,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000007625.1_ASM762v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000007625.1_ASM762v1_protein_embedding.h5,212717,Clostridium tetani,original tree,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Bacteria,Anaerobic,PATRIC,10,1.14.14.51  1.4.3.19  1.14.13.208  1.14.14.52  1.14.13.168  1.14.13.237  1.6.3.4  1.4.3.2  1.14.14.17  1.15.1.1,Anaerobe
GCF_000007785,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000007785.1_ASM778v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000007785.1_ASM778v1_protein_embedding.h5,226185,Enterococcus faecalis,original tree,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Bacteria,Facultative,PATRIC,10,1.1.3.15  1.8.3.2  1.14.13.39  1.1.3.21  1.11.1.6  1.3.99.31  1.1.99.18  1.4.3.2  1.15.1.1  1.14.13.94,Facultative
GCF_000195185,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000195185.1_ASM19518v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000195185.1_ASM19518v2_protein_embedding.h5,991778,Rhodopirellula baltica,original tree,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Bacteria,Aerobic,18340632,26,1.14.16.4  1.14.16.1  1.5.3.1  1.5.3.7  1.14.12.17  1.13.11.29  1.1.3.15  1.10.3.14  1.16.3.1  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.11.1.6  1.14.13.225  1.13.11.24  1.14.13.237  1.14.19.18  1.14.19.37  1.4.3.2  1.4.3.5  1.14.13.9  1.14.11.1  1.15.1.1,Aerobe
GCF_000195515,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000195515.1_ASM19551v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000195515.1_ASM19551v1_protein_embedding.h5,999891,Bacillus amyloliquefaciens,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Aerobic,19712408,32,1.14.13.150  1.13.11.53  1.14.13.185  1.13.11.2  1.5.3.1  1.14.12.17  1.14.14.1  1.10.3.10  1.13.11.54  1.10.2.2  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.14.13.38  1.14.14.18  1.4.3.24  1.14.14.10  1.14.14.47  1.14.14.46  1.11.1.6  1.3.3.4  1.14.14.5  1.13.12.16  1.13.11.24  1.13.12.4  1.14.13.237  1.14.13.234  1.14.15.8  1.14.14.9  1.15.1.1,Aerobe
GCF_000217655,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000217655.1_ASM21765v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000217655.1_ASM21765v1_protein_embedding.h5,545776,Treponema paraluiscuniculi,added,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Bacteria,Anaerobic,PATRIC,3,1.14.14.51  1.14.14.52  1.14.13.237,Anaerobe
GCF_000091665,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000091665.1_ASM9166v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000091665.1_ASM9166v1_protein_embedding.h5,243232,Methanocaldococcus jannaschii,original tree,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Archaea,Anaerobic,GOLD,5,1.5.3.17  1.4.3.10  1.14.13.208  4.1.1.39  1.4.3.5,Anaerobe
GCF_000010665,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000010665.1_ASM1066v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000010665.1_ASM1066v1_protein_embedding.h5,573370,Desulfovibrio magneticus,added,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bacteria,Anaerobic,PATRIC,15,1.5.3.1  1.10.3.10  1.14.14.51  1.9.3.1  1.4.3.16  1.14.13.208  1.14.14.52  1.14.99.44  4.1.1.39  1.4.3.24  1.11.1.6  1.14.13.225  1.17.3.2  1.4.3.2  1.15.1.1,Anaerobe
GCF_000012925,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000012925.1_ASM1292v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000012925.1_ASM1292v1_protein_embedding.h5,269799,Geobacter metallireducens,original tree,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Bacteria,Anaerobic,PATRIC,18,1.13.11.2  1.16.3.1  1.10.3.2  1.3.3.13  1.10.2.2  1.14.14.51  1.9.3.1  1.4.3.16  1.8.3.2  1.4.3.19  1.14.13.208  1.14.14.52  1.2.3.1  1.3.3.4  1.1.99.18  1.6.3.1  1.4.3.2  1.14.13.9,Anaerobe
GCF_000008145,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000008145.1_ASM814v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000008145.1_ASM814v1_protein_embedding.h5,262698,Brucella abortus,original tree,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Bacteria,Facultative,PATRIC,26,1.13.11.3  1.5.3.1  1.14.13.127  1.10.3.14  1.10.3.10  1.5.3.17  1.16.3.1  1.13.11.79  1.10.2.2  1.9.3.1  1.4.3.19  1.11.1.6  1.14.11.16  1.3.3.3  1.14.13.225  1.13.11.24  1.7.3.3  1.14.13.84  1.1.3.47  1.17.3.2  1.14.13.237  1.14.11.33  1.4.3.2  1.4.3.5  1.7.2.1  1.15.1.1,Facultative
GCF_000092845,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000092845.1_ASM9284v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000092845.1_ASM9284v1_protein_embedding.h5,526224,Brachyspira murdochii,added,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Bacteria,Anaerobic,PATRIC,8,1.1.3.15  1.14.14.51  1.14.13.208  1.14.14.52  1.2.3.1  1.11.1.6  1.4.3.2  1.15.1.1,Anaerobe
GCF_000021725,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000021725.1_ASM2172v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000021725.1_ASM2172v1_protein_embedding.h5,598659,Nautilia profundicola,added,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Bacteria,Anaerobic,PATRIC,8,1.14.16.4  1.14.16.1  1.16.3.1  1.14.14.51  1.4.3.16  1.4.3.19  1.14.14.52  1.4.3.2,Anaerobe
GCF_000022125,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000022125.1_ASM2212v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000022125.1_ASM2212v1_protein_embedding.h5,525146,Desulfovibrio desulfuricans,original tree,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bacteria,Anaerobic,PATRIC,20,1.10.3.14  1.16.3.1  1.14.14.51  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.14.99.44  1.4.3.23  1.14.13.168  1.11.1.6  1.13.11.24  1.1.99.18  1.1.3.48  1.17.3.2  1.3.99.26  1.4.3.2  1.14.13.9  1.15.1.1  1.5.3.19,Anaerobe
GCF_000147075,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000147075.1_ASM14707v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000147075.1_ASM14707v1_protein_embedding.h5,665571,Spirochaeta thermophila,added,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Bacteria,Anaerobic,PATRIC,11,1.14.14.51  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.13.11.24  1.14.13.237  1.4.3.2  1.4.3.5  1.14.13.7  1.15.1.1,Anaerobe
GCF_000006865,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000006865.1_ASM686v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000006865.1_ASM686v1_protein_embedding.h5,272623,Lactococcus lactis,original tree,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Bacteria,Facultative,GOLD,7,1.2.3.3  1.1.3.21  1.1.99.18  1.13.12.4  1.4.3.2  1.14.14.17  1.15.1.1,Facultative
GCF_000009145,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000009145.1_ASM914v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000009145.1_ASM914v1_protein_embedding.h5,228410,Nitrosomonas europaea,original tree,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Bacteria,Aerobic,PATRIC,21,1.13.11.2  1.5.3.1  1.1.3.15  1.14.14.1  1.16.3.1  1.14.99.39  1.14.18.1  1.10.2.2  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  4.1.1.39  1.11.1.6  1.3.3.3  1.13.11.24  1.1.3.46  1.14.13.9  1.15.1.1,Aerobe
GCF_000008085,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000008085.1_ASM808v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000008085.1_ASM808v1_protein_embedding.h5,228908,Nanoarchaeum equitans,original tree,Nanoarchaeota,no rank,Nanoarchaeales,Nanoarchaeaceae,Archaea,Anaerobic,14566062,3,1.14.16.4  1.14.16.1  1.4.3.4,Anaerobe
GCF_000021545,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000021545.1_ASM2154v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000021545.1_ASM2154v1_protein_embedding.h5,204536,Sulfurihydrogenibium azorense,added,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Bacteria,Anaerobic,PATRIC,11,1.13.11.53  1.13.11.54  1.14.14.51  1.4.3.16  1.4.3.19  1.14.14.52  1.14.13.163  1.4.3.2  1.4.3.4  1.14.13.9  1.15.1.1,Anaerobe
GCF_000009085,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000009085.1_ASM908v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000009085.1_ASM908v1_protein_embedding.h5,192222,Campylobacter jejuni,original tree,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Bacteria,Anaerobic,GOLD,12,1.14.12.17  1.1.5.4  1.1.3.15  1.10.3.14  1.14.14.51  1.9.3.1  1.4.3.19  1.14.13.208  1.14.14.52  1.11.1.6  1.14.13.237  1.15.1.1,Anaerobe
